"location_id","province","city","2018Q4","2019Q1","2019Q4","2020Q1","2020Q4","2021Q1","2021Q1_vs_2019Q1_str","2020Q4_vs_2019Q4_str","2021Q1_vs_2019Q1","2020Q4_vs_2019Q4"
"jiayuguan_chn.5_1_cn","Gansu","Jiayuguan",24.9179666521459,32.3341661323329,22.9708763527299,27.3048418949143,24.1130914001334,26.9990543761516,"-16.5%","5%",-0.164999206546612,0.0497244872099856
"jieyang_chn.6_1_cn","Guangdong","Jieyang",35.9028367990665,34.9742864240352,42.9974412533781,39.8876956212867,31.940170000212,41.8435483206672,"19.6%","-25.7%",0.196408922067707,-0.257161145659973
"jilin_chn.17_1_cn","Jilin","Jilin",34.6833303907704,64.8831006145495,39.7663237651001,64.5126531137079,35.1904066429324,50.0283811696925,"-22.9%","-11.5%",-0.228945893524791,-0.115070157080591
"jimo_chn.23_1_cn","Shandong","Jimo",43.7516092023557,73.9445776215769,48.2205080741569,50.9207803559998,53.2831032441618,55.680719502046,"-24.7%","10.5%",-0.246993879835235,0.104988424473242
"jinan_chn.23_1_cn","Shandong","Jinan",66.5674901891321,82.1876500668754,65.3576053082796,68.3652625417416,63.3535058322599,60.6406343060836,"-26.2%","-3.1%",-0.262168534363242,-0.0306636001513032
"jinchang_chn.5_1_cn","Gansu","Jinchang",21.14274157474,23.7429483451824,26.6237188841068,26.6449300733453,27.2021551152223,25.2703630803042,"6.4%","2.2%",0.0643313000944883,0.0217263498624443
"jincheng_chn.25_1_cn","Shanxi","Jincheng",56.0715405520425,87.7516998535267,52.8392250545832,66.3472083251232,49.2741592848532,48.354769346638,"-44.9%","-6.7%",-0.448959171989252,-0.0674700616075888
"jingdezhen_chn.16_1_cn","Jiangxi","Jingdezhen",27.2912347611773,29.3790021527208,32.355006244129,23.4359250612779,28.694307898068,27.2955613840633,"-7.1%","-11.3%",-0.0709159813470581,-0.113141636210477
"jingmen_chn.13_1_cn","Hubei","Jingmen",68.9126307446609,90.1369467808463,63.431334843654,63.2230722854076,67.7697261630581,67.6738220103053,"-24.9%","6.8%",-0.249211067967019,0.0683950815491661
"jingzhou_chn.13_1_cn","Hubei","Jingzhou",54.3696288502606,67.909699057928,50.4449512016142,46.7723214300433,49.930244156869,49.1936643000049,"-27.6%","-1%",-0.275601792049734,-0.0102033411170919
"jinhua_chn.31_1_cn","Zhejiang","Jinhua",35.9778735651161,33.4098656097131,43.9479581150323,28.1597228123832,37.1733519400877,34.6472564425879,"3.7%","-15.4%",0.0370366899205707,-0.154150646935911
"jining_chn.23_1_cn","Shandong","Jining",57.4125920127123,75.3063747364501,73.5518475132584,77.4825332736505,68.8185403623818,69.1387881980394,"-8.2%","-6.4%",-0.0818999262678023,-0.0643533413626814
"jintan_chn.15_1_cn","Jiangsu","Jintan",47.3508493884313,63.3474248025524,47.7569261859836,47.6193330505192,45.279678191875,47.2839250072376,"-25.4%","-5.2%",-0.253577787027384,-0.0518720150551826
"jinzhong_chn.25_1_cn","Shanxi","Jinzhong",58.5155661012758,73.6217253582835,48.3160630662693,62.7266416029333,47.6930335495912,47.294105709093,"-35.8%","-1.3%",-0.357606664623328,-0.0128948734052202
"jinzhou_chn.18_1_cn","Liaoning","Jinzhou",54.1786104563205,68.0521898002297,53.9862001662953,65.9457169060356,54.962877472686,70.3821090364984,"3.4%","1.8%",0.0342372411983853,0.0180912400461999
"jiujiang_chn.16_1_cn","Jiangxi","Jiujiang",48.1698258184511,57.0237042816856,52.5270108850674,42.4912475164762,51.1359734614764,42.4100028672339,"-25.6%","-2.6%",-0.256274151224253,-0.0264823259529211
"jiuquan_chn.5_1_cn","Gansu","Jiuquan",34.2430040991137,36.8022250241914,28.1770801540971,31.7271318933668,29.9131619140324,31.2351100238965,"-15.1%","6.2%",-0.151271152671759,0.0616132597998411
"jixi_chn.11_1_cn","Heilongjiang","Jixi",28.7644264555158,48.4148223978115,30.4393000089734,35.692365988413,28.7905472672856,43.8744736948532,"-9.4%","-5.4%",-0.0937801375300215,-0.054165264680917
"jurong_chn.15_1_cn","Jiangsu","Jurong",50.9657775034887,70.7242868105731,43.7385043277312,45.6572149867505,44.4532102916065,51.2907122513825,"-27.5%","1.6%",-0.274779364141786,0.0163404298994767
"kaifeng_chn.12_1_cn","Henan","Kaifeng",91.2302963607939,104.427532488042,68.9328018233677,83.9792742050916,76.690556058368,74.5528737077151,"-28.6%","11.3%",-0.286080290020718,0.112540822798392
"karamay_chn.28_1_cn","Xinjiang Uygur","Karamay",35.0731019346815,48.0506421388795,32.6676449677284,50.5059055040547,36.4007587273995,42.4033726447205,"-11.8%","11.4%",-0.117527451097049,0.114275570319164
"kashi_chn.28_1_cn","Xinjiang Uygur","Kashi",82.2466419906775,103.946008790209,100.784210622316,94.2397925333711,70.9405347078725,85.3139421038631,"-17.9%","-29.6%",-0.179247543058152,-0.296114597020374
"kezilesu state_chn.28_1_cn","Xinjiang Uygur","Kezilesu State",44.3799495490508,53.1890732791998,52.5287329517682,59.0092455176954,42.2765126657643,42.8914287015084,"-19.4%","-19.5%",-0.193604512032708,-0.195173569014456
"korla_chn.28_1_cn","Xinjiang Uygur","Korla",38.8267913694332,58.7789261939008,46.5771107081651,50.3500190606416,44.0943975660523,49.9322497688854,"-15.1%","-5.3%",-0.150507622337839,-0.0533032879104202
