"location_id","province","city","2019Q1","2019Q4","2020Q1","2020Q4","2021Q1","2021Q1_vs_2019Q1_str","2020Q4_vs_2019Q4_str","2021Q1_vs_2019Q1","2020Q4_vs_2019Q4"
"chaozhou_chn.6_1_cn","Guangdong","Chaozhou",28.2951890799751,27.396083665383,27.3494604823447,25.3468215266893,29.3068125353425,"3.6%","-7.5%",0.0357524896726469,-0.0748012804940843
"chengde_chn.10_1_cn","Hebei","Chengde",35.3456360155923,26.5409326897154,26.479711717539,25.9158900532431,32.9791605163703,"-6.7%","-2.4%",-0.0669524095754873,-0.0235501383383715
"chengdu_chn.26_1_cn","Sichuan","Chengdu",43.4554902820644,41.6904345960079,41.1689052964567,43.5147316588864,46.9424165027873,"8%","4.4%",0.0802413273464324,0.0437581685237027
"chenzhou_chn.14_1_cn","Hunan","Chenzhou",30.7706419660415,28.9638209997728,27.90878894042,39.4239574739659,33.9836023661444,"10.4%","36.1%",0.104416424059295,0.36114490813471
"chifeng_chn.19_1_cn","Nei Mongol","Chifeng",29.9588293874156,21.5339661853413,21.5361488221779,25.3082081864133,27.5871338767294,"-7.9%","17.5%",-0.0791651596267802,0.175269245274528
"chizhou_chn.1_1_cn","Anhui","Chizhou",44.351130904846,38.2271182074629,36.314314301235,39.0220402495832,36.9476370135903,"-16.7%","2.1%",-0.166929089297399,0.0207947153590335
"chongqing_chn.3_1_cn","Chongqing","Chongqing",40.7956510073906,36.7351736393418,35.3163444758699,36.764777574366,38.0404107107863,"-6.8%","0.1%",-0.0675375984588447,0.000805874373015492
"chongzuo_chn.7_1_cn","Guangxi","Chongzuo",29.3675147890141,28.9454202191529,29.1019645291425,27.1972679013858,39.4949798025242,"34.5%","-6%",0.34485264028193,-0.0603947810925325
"chuxiong_chn.30_1_cn","Yunnan","Chuxiong",20.2102625440141,19.0272451696218,19.3009942481563,18.9121720257513,25.2547468342435,"25%","-0.6%",0.249600136526851,-0.00604780896260204
"chuzhou_chn.1_1_cn","Anhui","Chuzhou",49.601754988226,43.9583179144103,40.4667896087794,42.0044171894691,42.0975525110729,"-15.1%","-4.4%",-0.151289051746947,-0.0444489420351709
"dali_chn.30_1_cn","Yunnan","Dali",15.5713818293115,15.9829934910519,16.2342199597759,16.4674543026466,21.3628386494753,"37.2%","3%",0.371929536096917,0.0303110185126474
