date,aqi,pm25,pm10,so2,co,no2,o3
12/12/2017,23,14,27,5,0.3,33,0
13/12/2017,65,32,50,8,1,54,22
14/12/2017,97,74,87,19,1.9,71,13
15/12/2017,51,33,55,7,0.9,34,57
16/12/2017,41,8,39,3,0.3,13,64
17/12/2017,68,28,52,7,0.9,54,56
18/12/2017,47,12,47,4,0.5,21,63
19/12/2017,65,37,72,9,0.9,52,33
20/12/2017,53,20,43,5,0.6,42,64
21/12/2017,98,53,77,13,1.4,78,20
22/12/2017,72,36,61,9,1.2,57,62
23/12/2017,79,32,57,11,1,63,19
24/12/2017,49,13,49,4,0.5,16,73
25/12/2017,62,31,50,10,0.7,49,43
26/12/2017,59,25,44,7,0.7,48,47
27/12/2017,99,76,89,11,1.5,71,15
28/12/2017,143,109,110,13,1.9,70,19
29/12/2017,225,175,168,6,2.9,86,11
30/12/2017,145,111,118,5,2,62,52
31/12/2017,64,32,67,6,1,51,35
1/1/2018,57,34,63,9,1,44,38
2/1/2018,50,28,50,7,0.8,33,46
3/1/2018,28,11,28,5,0.4,21,51
4/1/2018,40,15,30,4,0.5,32,39
5/1/2018,63,32,54,8,0.9,50,36
6/1/2018,48,16,30,5,0.5,38,48
7/1/2018,54,38,57,10,0.8,43,50
8/1/2018,55,12,60,4,0.3,11,61
9/1/2018,35,7,35,3,0.3,13,63
10/1/2018,32,6,21,3,0.3,9,63
11/1/2018,32,13,25,5,0.5,25,55
12/1/2018,87,61,81,11,1.3,69,21
13/1/2018,139,106,122,15,1.7,79,17
14/1/2018,176,133,137,12,1.7,71,41
15/1/2018,59,32,58,8,0.9,47,42
16/1/2018,114,45,177,5,0.7,42,55
17/1/2018,77,42,104,8,1,49,62
18/1/2018,93,63,105,11,1.2,74,19
19/1/2018,108,81,122,13,1.5,73,36
20/1/2018,63,31,75,9,0.8,48,32
21/1/2018,64,37,77,19,1.2,44,29
22/1/2018,47,22,47,4,0.6,25,65
23/1/2018,32,11,32,4,0.4,15,60
24/1/2018,35,17,33,5,0.4,28,65
25/1/2018,33,9,23,4,0.4,26,62
26/1/2018,53,29,41,8,0.6,42,42
27/1/2018,112,84,95,14,1.4,67,14
28/1/2018,59,11,67,3,0.4,15,66
29/1/2018,56,8,61,3,0.4,20,67
30/1/2018,36,11,36,6,0.4,24,68
31/1/2018,62,22,74,7,0.5,29,65
1/2/2018,68,30,85,10,0.7,36,64
2/2/2018,34,8,30,5,0.3,11,68
3/2/2018,32,8,21,5,0.4,20,64
4/2/2018,40,19,36,8,0.5,32,55
5/2/2018,34,7,18,3,0.3,15,67
6/2/2018,65,47,61,13,0.9,51,43
7/2/2018,51,33,52,8,0.6,31,76
8/2/2018,73,53,76,12,0.9,53,49
9/2/2018,80,40,109,8,0.7,32,74
10/2/2018,44,10,44,3,0.3,12,74
11/2/2018,67,9,84,2,0.3,6,73
12/2/2018,53,12,56,4,0.4,15,73
13/2/2018,79,58,79,13,1.1,57,50
14/2/2018,37,13,33,3,0.4,18,74
15/2/2018,73,53,66,10,0.5,22,80
